Contract_Type,Tap_Class,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21
Sydney Metro Bus Contract 1,Adult,"390,433","386,386","370,068","381,402","405,245","353,196","341,332","386,683","437,169","357,110","450,002","404,992","417,371","448,961","419,498","438,484","455,666","382,007","389,381","429,725","469,557","427,345","501,314","442,598","481,811","510,926","462,927","506,676","521,433","432,004","453,530","490,800","540,057","478,033","561,499","471,266","544,622","543,465","516,174","530,872","524,046","455,946","452,466","467,925","392,860","171,160","216,827","260,477","288,798","270,591","278,146","275,385","278,318","261,170","230,528","265,311","294,367","271,849","289,229","259,924","127,354","102,937","104,623","160,054"
Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,,"25,753","23,416","23,138","23,352","22,065","21,306","21,277","22,132","19,715","22,140","20,506","21,944","20,672","19,788","20,237","20,786","20,437","19,834","19,271","20,420","18,843","19,759","16,891","18,345","17,523","15,565","17,134","17,252","17,521","17,732","16,570","17,016","16,262","16,861","14,744","16,947","14,523","12,663","10,729",13,3,1,5,3,8,2,2,8,4,4,2,2,3,3,3,10,4,8,8,7,6,2,3
Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,,"17,882","14,984","14,465","13,914","13,285","12,021","11,824","12,923","11,281","12,297","10,876","12,068","11,032","10,484","10,477","10,561","10,862","10,665","9,681","10,367","9,672","9,980","8,323","10,245","9,447","7,948","9,152","9,124","8,960","9,009","8,363","8,561","7,795","8,332","7,048","8,454","6,427","5,620","5,025",,1,2,2,4,,,,1,,5,2,,,,,1,7,2,4,1,4,,
Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,,"1,880","1,459","1,355","1,198","1,102","1,098","1,009",992,947,971,876,992,881,920,917,837,942,922,776,803,785,795,688,891,851,726,857,825,761,731,734,810,781,745,517,674,449,374,347,,1,,,,1,1,,,,,,,,,3,,,,4,,2,,
Sydney Metro Bus Contract 1,Child/Youth,"62,800","67,010","70,022","78,951","76,328","77,290","80,779","80,920","82,720","78,164","77,300","68,761","89,142","73,381","77,498","83,085","79,384","81,840","90,813","85,852","89,194","87,921","85,444","75,635","96,862","84,041","76,967","94,270","83,569","80,732","92,159","88,688","89,238","86,945","84,310","72,749","98,011","80,637","75,766","92,826","81,238","81,917","95,311","82,827","59,296","16,162","28,396","40,075","55,356","41,851","44,307","50,513","41,384","47,658","46,574","45,469","42,069","52,658","42,457","34,715","11,205","6,725","9,170","24,293"
Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,,"14,002","12,523","11,226","9,254","10,271","10,453","6,258","6,998","8,981","6,289","5,812","8,689","5,568","7,029","6,771","5,690","8,491","8,730","5,228","5,720","7,288","5,113","4,494","7,502","4,981","4,518","5,907","4,407","5,647","7,175","3,669","4,017","5,125","3,446","3,234","5,754","3,243","3,164","3,725",,,,1,,,,,,,,,,1,9,,,,,,,,,
Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,,"10,189","8,836","8,459","5,673","7,826","8,579","4,342","4,548","7,459","4,281","3,982","7,252","3,825","5,503","5,139","3,981","6,447","7,107","3,340","3,697","5,799","3,306","3,034","5,961","3,307","2,973","4,738","3,120","4,444","5,753","2,719","2,787","4,168","2,499","2,184","4,352","2,150","1,961","2,677",,,,,,,,,,,,,3,,1,,,,,,,,,1
Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 3,,907,937,927,588,820,869,389,428,680,388,329,658,353,456,448,408,616,766,299,363,539,272,278,614,327,305,470,267,447,648,256,310,381,270,187,387,182,202,209,,2,,,,,,,,,,,1,,,,,,,,,,,
Sydney Metro Bus Contract 1,Concession,"136,064","73,590","61,676","60,635","57,858","45,808","42,676","53,466","87,410","62,040","81,990","62,266","63,203","86,293","70,969","74,487","69,407","52,591","49,620","60,089","89,220","71,692","89,724","66,213","65,528","89,250","71,129","71,192","64,437","47,328","45,245","57,323","87,022","70,723","83,497","60,924","66,497","81,393","67,641","67,810","62,173","47,937","41,589","54,455","58,725","13,028","17,912","24,328","29,962","30,755","30,751","29,663","29,494","26,377","20,182","30,997","45,028","36,117","42,044","32,919","10,461","7,440","7,628","14,275"
Sydney Metro Bus Contract 1,Employee,,,,,,,,,1,,,,,,,,,2,,,,,,,4,"1,208","1,863","2,254","2,325","1,901","2,225","2,690","2,905","2,752","3,237","2,539","3,022","3,333","3,196","3,137","3,384","2,919","3,015","2,941","2,745","1,218","1,424","1,593","1,794","1,697","1,747","1,780","1,811","1,755","1,409","1,746","1,902","1,944","1,967","1,314",513,481,513,898
