,Contract_Type,Tap_Class,Year,Month,Day,Taps_Count
0,Sydney Metro Bus Contract 1,Adult,2016,7,1,390433
1,Sydney Metro Bus Contract 1,Adult,2016,8,1,386386
2,Sydney Metro Bus Contract 1,Adult,2016,9,1,370068
3,Sydney Metro Bus Contract 1,Adult,2016,10,1,381402
4,Sydney Metro Bus Contract 1,Adult,2016,11,1,405245
5,Sydney Metro Bus Contract 1,Adult,2016,12,1,353196
6,Sydney Metro Bus Contract 1,Adult,2017,1,1,341332
7,Sydney Metro Bus Contract 1,Adult,2017,2,1,386683
8,Sydney Metro Bus Contract 1,Adult,2017,3,1,437169
9,Sydney Metro Bus Contract 1,Adult,2017,4,1,357110
10,Sydney Metro Bus Contract 1,Adult,2017,5,1,450002
11,Sydney Metro Bus Contract 1,Adult,2017,6,1,404992
12,Sydney Metro Bus Contract 1,Adult,2017,7,1,417371
13,Sydney Metro Bus Contract 1,Adult,2017,8,1,448961
14,Sydney Metro Bus Contract 1,Adult,2017,9,1,419498
15,Sydney Metro Bus Contract 1,Adult,2017,10,1,438484
16,Sydney Metro Bus Contract 1,Adult,2017,11,1,455666
17,Sydney Metro Bus Contract 1,Adult,2017,12,1,382007
18,Sydney Metro Bus Contract 1,Adult,2018,1,1,389381
19,Sydney Metro Bus Contract 1,Adult,2018,2,1,429725
20,Sydney Metro Bus Contract 1,Adult,2018,3,1,469557
21,Sydney Metro Bus Contract 1,Adult,2018,4,1,427345
22,Sydney Metro Bus Contract 1,Adult,2018,5,1,501314
23,Sydney Metro Bus Contract 1,Adult,2018,6,1,442598
24,Sydney Metro Bus Contract 1,Adult,2018,7,1,481811
25,Sydney Metro Bus Contract 1,Adult,2018,8,1,510926
26,Sydney Metro Bus Contract 1,Adult,2018,9,1,462927
27,Sydney Metro Bus Contract 1,Adult,2018,10,1,506676
28,Sydney Metro Bus Contract 1,Adult,2018,11,1,521433
29,Sydney Metro Bus Contract 1,Adult,2018,12,1,432004
30,Sydney Metro Bus Contract 1,Adult,2019,1,1,453530
31,Sydney Metro Bus Contract 1,Adult,2019,2,1,490800
32,Sydney Metro Bus Contract 1,Adult,2019,3,1,540057
33,Sydney Metro Bus Contract 1,Adult,2019,4,1,478033
34,Sydney Metro Bus Contract 1,Adult,2019,5,1,561499
35,Sydney Metro Bus Contract 1,Adult,2019,6,1,471266
36,Sydney Metro Bus Contract 1,Adult,2019,7,1,544622
37,Sydney Metro Bus Contract 1,Adult,2019,8,1,543465
38,Sydney Metro Bus Contract 1,Adult,2019,9,1,516174
39,Sydney Metro Bus Contract 1,Adult,2019,10,1,530872
40,Sydney Metro Bus Contract 1,Adult,2019,11,1,524046
41,Sydney Metro Bus Contract 1,Adult,2019,12,1,455946
42,Sydney Metro Bus Contract 1,Adult,2020,1,1,452466
43,Sydney Metro Bus Contract 1,Adult,2020,2,1,467925
44,Sydney Metro Bus Contract 1,Adult,2020,3,1,392860
45,Sydney Metro Bus Contract 1,Adult,2020,4,1,171160
46,Sydney Metro Bus Contract 1,Adult,2020,5,1,216827
47,Sydney Metro Bus Contract 1,Adult,2020,6,1,260477
48,Sydney Metro Bus Contract 1,Adult,2020,7,1,288798
49,Sydney Metro Bus Contract 1,Adult,2020,8,1,270591
50,Sydney Metro Bus Contract 1,Adult,2020,9,1,278146
51,Sydney Metro Bus Contract 1,Adult,2020,10,1,275385
52,Sydney Metro Bus Contract 1,Adult,2020,11,1,278318
53,Sydney Metro Bus Contract 1,Adult,2020,12,1,261170
54,Sydney Metro Bus Contract 1,Adult,2021,1,1,230528
55,Sydney Metro Bus Contract 1,Adult,2021,2,1,265311
56,Sydney Metro Bus Contract 1,Adult,2021,3,1,294367
57,Sydney Metro Bus Contract 1,Adult,2021,4,1,271849
58,Sydney Metro Bus Contract 1,Adult,2021,5,1,289229
59,Sydney Metro Bus Contract 1,Adult,2021,6,1,259924
60,Sydney Metro Bus Contract 1,Adult,2021,7,1,127354
61,Sydney Metro Bus Contract 1,Adult,2021,8,1,102937
62,Sydney Metro Bus Contract 1,Adult,2021,9,1,104623
63,Sydney Metro Bus Contract 1,Adult,2021,10,1,160054
64,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2016,8,1,25753
65,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2016,9,1,23416
66,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2016,10,1,23138
67,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2016,11,1,23352
68,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2016,12,1,22065
69,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2017,1,1,21306
70,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2017,2,1,21277
71,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2017,3,1,22132
72,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2017,4,1,19715
73,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2017,5,1,22140
74,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2017,6,1,20506
75,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2017,7,1,21944
76,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2017,8,1,20672
77,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2017,9,1,19788
78,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2017,10,1,20237
79,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2017,11,1,20786
80,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2017,12,1,20437
81,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2018,1,1,19834
82,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2018,2,1,19271
83,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2018,3,1,20420
84,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2018,4,1,18843
85,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2018,5,1,19759
86,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2018,6,1,16891
87,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2018,7,1,18345
88,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2018,8,1,17523
89,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2018,9,1,15565
90,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2018,10,1,17134
91,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2018,11,1,17252
92,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2018,12,1,17521
93,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2019,1,1,17732
94,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2019,2,1,16570
95,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2019,3,1,17016
96,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2019,4,1,16262
97,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2019,5,1,16861
98,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2019,6,1,14744
99,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2019,7,1,16947
100,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2019,8,1,14523
101,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2019,9,1,12663
102,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2019,10,1,10729
103,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2019,11,1,13
104,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2019,12,1,3
105,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2020,1,1,1
106,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2020,2,1,5
107,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2020,3,1,3
108,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2020,4,1,8
109,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2020,5,1,2
110,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2020,6,1,2
111,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2020,7,1,8
112,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2020,8,1,4
113,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2020,9,1,4
114,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2020,10,1,2
115,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2020,11,1,2
116,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2020,12,1,3
117,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2021,1,1,3
118,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2021,2,1,3
119,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2021,3,1,10
120,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2021,4,1,4
121,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2021,5,1,8
122,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2021,6,1,8
123,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2021,7,1,7
124,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2021,8,1,6
125,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2021,9,1,2
126,Sydney Metro Bus Contract 1,Adult Single Bus Trip 1,2021,10,1,3
127,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2016,8,1,17882
128,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2016,9,1,14984
129,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2016,10,1,14465
130,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2016,11,1,13914
131,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2016,12,1,13285
132,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2017,1,1,12021
133,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2017,2,1,11824
134,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2017,3,1,12923
135,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2017,4,1,11281
136,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2017,5,1,12297
137,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2017,6,1,10876
138,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2017,7,1,12068
139,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2017,8,1,11032
140,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2017,9,1,10484
141,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2017,10,1,10477
142,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2017,11,1,10561
143,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2017,12,1,10862
144,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2018,1,1,10665
145,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2018,2,1,9681
146,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2018,3,1,10367
147,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2018,4,1,9672
148,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2018,5,1,9980
149,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2018,6,1,8323
150,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2018,7,1,10245
151,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2018,8,1,9447
152,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2018,9,1,7948
153,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2018,10,1,9152
154,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2018,11,1,9124
155,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2018,12,1,8960
156,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2019,1,1,9009
157,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2019,2,1,8363
158,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2019,3,1,8561
159,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2019,4,1,7795
160,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2019,5,1,8332
161,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2019,6,1,7048
162,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2019,7,1,8454
163,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2019,8,1,6427
164,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2019,9,1,5620
165,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2019,10,1,5025
166,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2019,12,1,1
167,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2020,1,1,2
168,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2020,2,1,2
169,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2020,3,1,4
170,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2020,7,1,1
