"TRANSACTION TYPE"|"REPLACEMENT REASON"|"AGE GROUP"|"PENSIONER TYPE"|"GENDER"|"CUSTOMER ADDRESS LGA"|"COUNT"
"Photo card issue"|"Not Applicable"|"100+"|"Centrelink Pensioner"|"Male"|"Hornsby"|"<=5"
"Photo card issue"|"Not Applicable"|"100+"|"Centrelink Pensioner"|"Male"|"Liverpool"|"<=5"
"Photo card issue"|"Not Applicable"|"100+"|"Centrelink Pensioner"|"Male"|"The Hills Shire"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Female"|"Blacktown"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Female"|"Byron"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Female"|"Cumberland"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Female"|"Hawkesbury"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Female"|"Mid-Western Regional"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Female"|"Northern Beaches"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Female"|"Parramatta"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Female"|"Snowy Valleys"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Female"|"Wentworth"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Male"|"Blacktown"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Male"|"Canterbury-Bankstown"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Male"|"Central Coast"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Male"|"Cumberland"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Male"|"Hawkesbury"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Male"|"Mid-Western Regional"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Male"|"Parramatta"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Male"|"Tamworth Regional"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Male"|"The Hills Shire"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Centrelink Pensioner"|"Male"|"Wollondilly"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Albury"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Armidale Regional"|"6"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Ballina"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Bathurst Regional"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Bayside"|"6"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Berrigan"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Blacktown"|"54"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Blayney"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Blue Mountains"|"9"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Bourke"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Broken Hill"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Burwood"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Byron"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Cabonne"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Camden"|"7"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Campbelltown"|"21"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Canada Bay"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Canterbury-Bankstown"|"46"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Carrathool"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Central Coast"|"23"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Cessnock"|"9"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Clarence Valley"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Cobar"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Coffs Harbour"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Coonamble"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Cumberland"|"27"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Fairfield"|"20"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Federation"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Forbes"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Georges River"|"13"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Gilgandra"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Glen Innes Severn"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Goulburn Mulwaree"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Griffith"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Gundagai"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Gunnedah"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Hawkesbury"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Hay"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Hilltops"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Hornsby"|"19"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Hunters Hill"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Inner West"|"16"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Kempsey"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Kiama"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Ku-ring-gai"|"16"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Lake Macquarie"|"21"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Lane Cove"|"6"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Leeton"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Lismore"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Lithgow"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Liverpool"|"19"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Liverpool Plains"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Maitland"|"9"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Mid-Coast"|"9"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Missing/Unknown"|"6"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Moree Plains"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Mosman"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Muswellbrook"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Narrabri"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Narrandera"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Narromine"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Newcastle"|"12"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"North Sydney"|"6"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Northern Beaches"|"25"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Oberon"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Orange"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Parkes"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Parramatta"|"29"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Penrith"|"12"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Port Macquarie-Hastings"|"7"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Port Stephens"|"7"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Queanbeyan-Palerang Regional"|"12"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Randwick"|"11"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Richmond Valley"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Ryde"|"11"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Shellharbour"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Shoalhaven"|"6"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Singleton"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Snowy Monaro Regional"|"<=5"
